id_mere,diet,density,Id_adulte,sex,forceps_L,pronotum
9SOJI,GOOD,1,TRCIF,femelle,3.34,1.79
9SOJI,GOOD,4,SUUAT,male,6.348,1.883
9SOJI,GOOD,4,ZUPTX,male,5.725,1.897
9SOJI,GOOD,4,AHSWI,male,3.944,1.579
9SOJI,GOOD,4,IMAGO,femelle,3.672,1.715
9SOJI,GOOD,8,QPYYR,femelle,3.648,1.933
9SOJI,GOOD,8,QQVAU,femelle,3.677,1.88
9SOJI,GOOD,8,TZROT,femelle,3.481,1.98
9SOJI,GOOD,8,XCCAR,male,6.066,1.731
9SOJI,GOOD,8,TIEWN,male,5.145,1.743
9SOJI,GOOD,8,GWJQU,male,4.161,1.641
XD1CM,POOR,1,PGDWG,femelle,3.683,1.739
XD1CM,POOR,1,,,,
XD1CM,POOR,1,,,,
XD1CM,POOR,4,YNOMZ,femelle,3.571,1.788
XD1CM,POOR,4,ZLMNC,femelle,3.238,1.685
XD1CM,POOR,4,EBOZG,male,3.847,1.538
XD1CM,POOR,4,LMUPN,male,4.061,1.593
XD1CM,POOR,4,VQOOB,femelle,2.994,1.427
XD1CM,POOR,4,LRZUF,femelle,3.486,1.627
XD1CM,POOR,4,GJEJW,male,4.736,1.577
XD1CM,POOR,8,UVIGM,femelle,3.382,1.673
XD1CM,POOR,8,DQKAF,femelle,3.065,1.718
XD1CM,POOR,8,HKEST,femelle,3.576,1.614
XD1CM,POOR,8,UWSRM,male,3.347,1.357
XD1CM,POOR,8,JVCZP,femelle,3.394,1.664
XD1CM,POOR,8,CNVVC,femelle,3.11,1.355
XD1CM,GOOD,1,XZOPU,femelle,3.734,1.818
XD1CM,GOOD,1,BDMUM,femelle,3.191,1.757
XD1CM,GOOD,1,,,,
XD1CM,GOOD,4,WPUIS,femelle,3.625,1.859
XD1CM,GOOD,4,ZCTTW,femelle,3.583,1.85
XD1CM,GOOD,4,NBMFD,male,6.31,1.702
XD1CM,GOOD,4,XKOVO,male,4.112,1.702
XD1CM,GOOD,8,CZTNQ,femelle,3.527,1.737
XD1CM,GOOD,8,NDYFI,male,5.926,1.827
XD1CM,GOOD,8,BNXYV,femelle,3.791,1.805
XD1CM,GOOD,8,FDPEI,femelle,3.828,1.852
XD1CM,GOOD,8,FRMPI,femelle,3.629,1.746
XD1CM,GOOD,8,GYFXD,male,4.253,1.532
XD1CM,GOOD,8,QBQHV,male,6.464,1.743
XD1CM,GOOD,4,ZWYJS,femelle,3.465,1.697
XD1CM,GOOD,4,ZREGM,femelle,3.466,1.731
SG9FN,POOR,4,DFULR,femelle,3.364,1.637
SG9FN,POOR,4,LWPNN,femelle,3.471,1.762
SG9FN,GOOD,1,EIHZK,femelle,3.673,1.667
SG9FN,GOOD,1,HPDKQ,femelle,3.612,1.875
SG9FN,GOOD,4,FNJGE,male,4.885,1.644
SG9FN,GOOD,4,RTJAW,male,5.951,1.623
SG9FN,GOOD,4,HLIMF,male,5.076,1.693
SG9FN,GOOD,4,FGGKJ,femelle,3.239,1.664
BYZ03,POOR,1,,,,
BYZ03,POOR,1,,,,
BYZ03,POOR,4,PHFRT,femelle,3.346,1.62
BYZ03,POOR,4,,,,
BYZ03,POOR,4,,,,
BYZ03,POOR,4,,,,
BYZ03,POOR,4,,,,
BYZ03,POOR,8,WBUSJ,femelle,3.287,1.731
BYZ03,GOOD,1,KALQU,femelle,3.888,1.751
BYZ03,GOOD,1,MXOAP,femelle,3.979,1.832
BYZ03,GOOD,4,TMQEK,femelle,2.944,1.773
BYZ03,GOOD,4,ELFUV,male,6.198,1.919
BYZ03,GOOD,8,GKRRE,femelle,3.731,1.732
BYZ03,GOOD,8,DGOLO,male,5.987,1.52
BYZ03,GOOD,8,LURHO,male,3.979,1.664
BYZ03,GOOD,8,WHBMQ,male,6.104,1.88
BYZ03,GOOD,8,WNHTF,male,4.791,1.802
BYZ03,GOOD,8,CCNJO,male,7.552,1.656
BYZ03,GOOD,8,ITHDP,male,4.759,1.591
SIWSA,POOR,1,XHXAH,male,3.755,1.613
SIWSA,POOR,1,,,,
SIWSA,POOR,1,,,,
SIWSA,POOR,4,YHYCW,male,4.331,1.671
SIWSA,POOR,4,RAWCL,male,4.203,1.727
SIWSA,POOR,8,VLFXE,femelle,3.673,1.597
SIWSA,POOR,8,BKUDT,male,3.816,1.404
SIWSA,GOOD,1,BLPIM,male,4.738,1.842
SIWSA,GOOD,1,HSKSJ,male,4.943,1.684
SIWSA,GOOD,1,CQDGP,male,6.069,1.81
SIWSA,GOOD,4,OUAMX,male,5.502,2.011
SIWSA,GOOD,4,YVEMS,male,3.814,1.728
SIWSA,GOOD,4,WPWUK,femelle,3.823,1.817
SIWSA,GOOD,4,YKESD,femelle,3.551,1.619
SIWSA,GOOD,8,EGNKH,male,4.823,1.696
SIWSA,GOOD,8,NDNNR,male,4.308,1.77
SIWSA,GOOD,8,DRSYA,femelle,3.737,1.579
SIWSA,GOOD,8,MLORT,male,6.555,1.784
SIWSA,GOOD,8,CEADH,femelle,3.85,1.72
25BKI,POOR,1,WGDTP,femelle,3.333,1.588
25BKI,POOR,1,LUALY,femelle,3.148,1.521
25BKI,POOR,1,BKDSF,male,3.66,1.357
25BKI,POOR,4,UKBBL,femelle,3.408,1.822
25BKI,POOR,4,GOTDM,male,3.978,1.508
25BKI,POOR,4,UPAFW,femelle,3.24,1.735
25BKI,POOR,8,JYWBV,male,3.836,1.602
25BKI,POOR,8,FNQGU,femelle,3.4,1.727
25BKI,POOR,8,EWDLT,femelle,3.534,1.779
25BKI,POOR,8,QGUCP,femelle,3.371,1.617
25BKI,GOOD,1,RILUS,male,5.233,1.837
25BKI,GOOD,1,DRXTH,male,4.846,1.792
25BKI,GOOD,1,OWSHI,male,3.682,1.731
25BKI,GOOD,4,BHJHZ,male,5.901,1.608
25BKI,GOOD,4,RZRFK,male,5.971,1.91
25BKI,GOOD,4,LCGEH,male,4.337,1.721
25BKI,GOOD,4,KLFKE,male,5.416,1.791
25BKI,GOOD,4,USFCE,femelle,3.41,1.913
25BKI,GOOD,4,IUGFQ,male,6.791,1.769
25BKI,GOOD,4,BBKUZ,femelle,3.429,1.551
25BKI,GOOD,4,CHCXT,femelle,3.674,1.586
25BKI,GOOD,8,EYVJG,femelle,3.855,1.826
25BKI,GOOD,8,VDTGB,femelle,3.623,1.829
25BKI,GOOD,8,SDTTM,femelle,3.354,1.825
25BKI,GOOD,8,ZMBCJ,femelle,3.473,1.74
25BKI,GOOD,8,YIQSJ,male,4.409,1.67
25BKI,GOOD,8,ZAMCX,male,5.462,1.723
25BKI,GOOD,8,AJSGN,femelle,3.588,1.665
0RAFT,GOOD,1,PHVIT,male,4.26,1.748
PKYWO,POOR,1,JHCQU,male,4.15,1.628
PKYWO,POOR,1,HPQGW,femelle,3.283,1.773
PKYWO,POOR,1,OOUDE,femelle,3.357,1.638
PKYWO,POOR,1,MXKKP,femelle,3.173,1.667
PKYWO,POOR,4,KUTYM,femelle,3.412,1.514
PKYWO,POOR,4,TRRCS,male,3.357,1.327
PKYWO,POOR,1,,,,
PKYWO,POOR,4,JGPWW,male,4.01,1.627
PKYWO,POOR,4,ABQVV,femelle,3.532,1.635
PKYWO,POOR,4,FBXPR,femelle,3.44,1.79
PKYWO,POOR,4,IWREA,femelle,3.373,1.723
PKYWO,POOR,4,,,,
PKYWO,POOR,8,EOFDC,femelle,3.532,1.841
PKYWO,POOR,8,JHZTN,male,4.631,1.704
PKYWO,POOR,8,FNOXK,femelle,3.624,1.907
PKYWO,POOR,8,KLZWZ,male,6.266,1.947
PKYWO,POOR,8,FGDPR,male,4.165,1.687
PKYWO,POOR,8,KABZG,male,4.455,1.486
PKYWO,POOR,8,HYOSE,femelle,3.405,1.773
PKYWO,POOR,8,HTVKD,male,5.391,1.589
PKYWO,POOR,8,ZHCTQ,male,4.189,1.618
PKYWO,POOR,8,ARGRI,male,3.796,1.561
PKYWO,POOR,8,AHJSH,femelle,3.655,1.7
PKYWO,POOR,8,DGSTV,femelle,3.362,1.805
PKYWO,POOR,8,VGGKC,femelle,3.436,1.905
PKYWO,POOR,8,SQAYM,femelle,3.529,1.915
PKYWO,POOR,8,GLFNZ,male,4.313,1.593
PKYWO,GOOD,1,XQEWL,male,4.627,1.964
PKYWO,GOOD,1,IYRAH,male,4.746,1.699
PKYWO,GOOD,1,YCQGX,male,4.379,1.962
PKYWO,GOOD,1,QQFCS,femelle,3.787,1.981
PKYWO,GOOD,1,UOJIM,femelle,3.679,2.007
PKYWO,GOOD,1,UDSLR,femelle,3.534,1.931
PKYWO,GOOD,1,ALUWI,male,6.56,1.782
PKYWO,GOOD,1,FPTFA,femelle,3.541,1.855
PKYWO,GOOD,4,OIFAD,male,7.236,1.699
PKYWO,GOOD,4,QMYYU,femelle,3.728,1.908
PKYWO,GOOD,4,XPVJJ,femelle,3.738,1.847
PKYWO,GOOD,4,FUELL,male,4.5,1.724
PKYWO,GOOD,4,XUCVD,male,7.383,1.829
PKYWO,GOOD,4,FLCFR,male,7.225,1.794
PKYWO,GOOD,4,GXTKR,male,5.343,1.673
PKYWO,GOOD,4,VUSZA,male,3.654,1.712
PKYWO,GOOD,8,HNFPY,femelle,3.768,1.872
PKYWO,GOOD,8,LYFZI,femelle,3.684,1.939
PKYWO,GOOD,8,ODUJD,femelle,3.845,1.774
PKYWO,GOOD,8,ANCES,femelle,3.232,1.852
PKYWO,GOOD,8,HCCWB,male,7.503,1.772
PKYWO,GOOD,8,GTRCI,femelle,3.801,1.844
PKYWO,GOOD,8,TFYJS,male,5.814,1.94
PKYWO,GOOD,8,PIYHS,male,7.238,2.02
PKYWO,GOOD,8,RWWOT,male,5.686,1.922
PKYWO,GOOD,8,HCKHR,male,5.342,1.819
PKYWO,GOOD,8,QICSS,femelle,3.776,1.957
ONJOB,POOR,1,HJMAF,male,3.808,1.424
ONJOB,POOR,1,,,,
ONJOB,POOR,4,QTADS,male,3.497,1.294
ONJOB,POOR,4,EQLYM,male,3.667,1.393
ONJOB,POOR,8,JJIZO,femelle,3.582,1.788
ONJOB,POOR,8,ULSYG,male,3.534,1.475
ONJOB,POOR,8,AAVRC,femelle,2.815,1.204
ONJOB,POOR,8,SUPLP,femelle,3.29,1.652
ONJOB,GOOD,1,JJYPV,femelle,3.805,1.609
ONJOB,GOOD,1,FQSGO,male,4.527,1.771
ONJOB,GOOD,1,FADIY,male,4.238,1.593
ONJOB,GOOD,4,XKTNH,male,3.898,1.731
ONJOB,GOOD,4,LFVXR,femelle,3.785,1.639
ONJOB,GOOD,4,LLRXW,femelle,3.901,1.756
ONJOB,GOOD,4,QNQGO,femelle,3.685,1.676
ONJOB,GOOD,8,UZODL,femelle,3.234,1.827
ONJOB,GOOD,8,LURHN,femelle,3.902,1.52
ONJOB,GOOD,8,XCEDK,male,5.468,1.712
ONJOB,GOOD,8,QDTBF,male,5.135,1.691
ONJOB,GOOD,8,EVXGQ,male,5.179,1.804
ONJOB,GOOD,8,LLBTZ,femelle,3.686,1.649
OG11H,POOR,1,GJEZP,male,4.24,1.582
OG11H,POOR,4,,,,
OG11H,POOR,4,,,,
OG11H,POOR,8,OHVIE,male,4.081,1.506
OG11H,POOR,8,BAZIY,male,3.721,1.449
OG11H,POOR,8,GRIPI,femelle,3.347,1.55
OG11H,POOR,8,WFFEZ,femelle,3.356,1.635
OG11H,POOR,8,JRUOF,femelle,3.451,1.68
OG11H,POOR,8,LFPXD,male,3.263,1.328
OG11H,GOOD,1,APRWM,femelle,3.779,1.784
OG11H,GOOD,1,RUUEH,femelle,3.855,1.803
OG11H,GOOD,4,JVSJF,femelle,3.412,1.589
OG11H,GOOD,4,TVWFS,male,3.962,1.773
OG11H,GOOD,4,NKCPA,male,6.632,1.824
OG11H,GOOD,4,ITVMH,femelle,3.622,1.818
OG11H,GOOD,4,TEIFR,male,4.29,1.636
OG11H,GOOD,8,PVPZD,male,5.806,1.89
OG11H,GOOD,8,KKGAX,male,3.982,1.628
OG11H,GOOD,8,UZTJU,male,5.81,1.84
OG11H,GOOD,8,EPFRZ,femelle,3.674,1.604
OG11H,GOOD,8,RWYLU,femelle,3.633,1.821
P357H,POOR,1,KXNNF,femelle,3.527,1.761
P357H,POOR,1,QAJAG,male,4.726,1.777
P357H,POOR,4,EQUWZ,male,4.265,1.416
P357H,POOR,4,UJYCB,femelle,3.52,1.808
P357H,POOR,4,GRCGW,male,4.317,1.603
P357H,POOR,4,OPNAG,femelle,3.39,1.583
P357H,POOR,4,UOWPB,male,3.741,1.677
P357H,POOR,4,IQWKW,male,4.012,1.553
P357H,POOR,8,GDGKT,femelle,3.452,1.619
P357H,POOR,8,SPFKD,femelle,3.476,1.699
P357H,POOR,8,WMOMA,femelle,3.243,1.639
P357H,POOR,8,GOCUX,male,4.474,1.503
P357H,POOR,8,FWXJM,femelle,3.562,1.636
P357H,GOOD,1,JHHSU,femelle,3.919,1.89
P357H,GOOD,1,,,,
P357H,GOOD,8,PBYWS,male,6.538,1.77
P357H,GOOD,8,YOUPC,male,4.829,1.858
P357H,GOOD,8,ZQKPW,femelle,3.835,1.741
P357H,GOOD,8,TIJIH,femelle,3.605,1.783
P357H,GOOD,4,UFCGD,femelle,3.478,1.794
P357H,GOOD,4,NZCSU,male,4.458,1.703
P357H,GOOD,4,HLNPM,femelle,3.636,1.865
P357H,GOOD,4,TUVKQ,male,5.09,1.712
P357H,GOOD,8,DWEMD,femelle,3.597,1.655
P357H,GOOD,8,MWTZA,femelle,3.815,1.665
P357H,GOOD,8,DOVSD,femelle,3.913,1.701
P357H,GOOD,8,UULBF,male,5.43,1.925
P357H,GOOD,8,RKVVH,male,6.476,1.88
P357H,GOOD,8,FHANZ,femelle,3.717,1.766
P357H,GOOD,8,PERSU,male,6.408,1.794
P357H,GOOD,8,XPOZQ,male,4.182,1.829
P357H,GOOD,8,DITED,femelle,3.604,1.684
P357H,GOOD,8,ZUCVH,male,5.045,1.53
P357H,GOOD,8,LKBBN,femelle,3.251,1.626
Q9B2J,POOR,1,PRGKI,male,3.941,1.635
Q9B2J,POOR,4,BHUTO,femelle,3.359,1.627
Q9B2J,POOR,4,RWWHR,male,3.954,1.547
Q9B2J,POOR,4,SINRL,femelle,3.394,1.625
Q9B2J,POOR,4,BKDAU,male,3.92,1.503
Q9B2J,POOR,4,TZCPH,femelle,2.9,1.677
Q9B2J,POOR,4,UBMNB,male,3.824,1.706
Q9B2J,POOR,8,BKTMM,male,5.805,1.545
Q9B2J,POOR,8,PRACW,male,3.585,1.628
Q9B2J,POOR,8,DSTSM,male,3.644,1.452
Q9B2J,POOR,8,AQTYS,male,4.062,1.47
Q9B2J,POOR,8,WDOHA,male,3.51,1.35
Q9B2J,POOR,8,PRZES,male,4.054,1.434
Q9B2J,POOR,8,UQHSK,femelle,3.302,1.721
Q9B2J,POOR,8,DYQQI,femelle,3.435,1.664
Q9B2J,POOR,8,GAYFQ,femelle,3.273,1.616
Q9B2J,POOR,8,ANMMV,male,4.084,1.495
Q9B2J,GOOD,1,XCICA,femelle,3.83,1.796
Q9B2J,GOOD,1,SQIPD,male,4.072,1.618
Q9B2J,GOOD,1,TIJVZ,femelle,3.262,1.534
Q9B2J,GOOD,4,HBOJY,femelle,3.777,1.667
Q9B2J,GOOD,4,MZCXJ,male,4.231,1.609
Q9B2J,GOOD,4,LZXCM,male,3.799,1.625
Q9B2J,GOOD,4,LJDKI,male,5.541,1.689
Q9B2J,GOOD,4,YYMIS,male,5.991,1.628
Q9B2J,GOOD,8,XJXLX,femelle,3.503,1.837
Q9B2J,GOOD,8,PPNOJ,femelle,3.027,1.846
Q9B2J,GOOD,8,IUAJO,femelle,3.208,1.686
Q9B2J,GOOD,8,TDDDN,male,6.856,1.769
Q9B2J,GOOD,8,FFPPH,male,6.923,1.827
Q9B2J,GOOD,8,PHKPQ,male,5.856,1.742
Q9B2J,GOOD,8,JDVXQ,femelle,3.6,1.737
Q9B2J,GOOD,8,VEMQT,femelle,3.586,1.845
Q9B2J,GOOD,8,SYFTZ,male,6.523,1.933
Q9B2J,GOOD,8,DNCMX,male,5.021,1.842
Q9B2J,GOOD,8,XKKLK,male,4.33,1.699
Q9B2J,GOOD,8,NREZM,male,6.11,1.73
Q9B2J,GOOD,8,KWZJB,male,6.865,1.895
Q9B2J,GOOD,8,XQSVI,male,7.058,1.92
6AXB1,POOR,4,VMZBT,femelle,3.409,1.751
6AXB1,POOR,4,EPWTT,male,4.542,1.599
6AXB1,POOR,4,EHHWH,male,3.892,1.592
6AXB1,POOR,4,MDYBK,femelle,3.521,1.611
6AXB1,POOR,4,LGISD,femelle,3.265,1.636
6AXB1,POOR,4,FIFYX,male,4.113,1.562
6AXB1,POOR,8,HXYLQ,femelle,3.222,1.621
6AXB1,POOR,8,YRIWI,femelle,3.256,1.712
6AXB1,GOOD,1,RWWTY,femelle,3.916,2.165
6AXB1,GOOD,1,ASNPF,femelle,4.006,1.898
6AXB1,GOOD,1,SZFBE,male,5.623,1.913
6AXB1,GOOD,4,IHQJN,male,3.977,1.618
6AXB1,GOOD,4,EYKMY,male,4.639,1.59
6AXB1,GOOD,4,IJDIW,femelle,3.868,1.857
6AXB1,GOOD,4,WAQHT,male,6.201,1.996
6AXB1,GOOD,4,HNEJF,male,4.376,1.886
6AXB1,GOOD,4,RMKAC,femelle,3.922,1.836
6AXB1,GOOD,4,AWHVJ,femelle,3.666,1.636
6AXB1,GOOD,8,HZAEQ,male,5.135,1.808
6AXB1,GOOD,8,RGWXF,femelle,3.582,1.827
6AXB1,GOOD,8,KJGKP,male,5.837,1.607
6AXB1,GOOD,8,QIUGD,femelle,3.612,1.877
6AXB1,GOOD,8,NFWXL,femelle,3.996,1.833
6AXB1,GOOD,8,JPDSI,male,4.068,1.796
6AXB1,GOOD,8,RZKOK,male,5.354,1.868
6AXB1,GOOD,8,DSKZJ,male,6.183,1.683
6AXB1,GOOD,8,TAGFE,male,4.031,1.637
6AXB1,GOOD,8,XPFRO,femelle,3.752,1.907
6AXB1,GOOD,8,EWVCO,male,4.54,1.687
6AXB1,GOOD,8,YPXTZ,femelle,3.643,1.982
6AXB1,GOOD,8,SCJVK,male,4.272,1.869
6AXB1,GOOD,8,IEUIU,male,3.909,1.789
GVR13,POOR,8,AZKPS,male,4.273,1.767
GVR13,GOOD,1,DNUDW,femelle,3.672,1.762
GVR13,GOOD,1,JFJZY,femelle,3.468,1.935
GVR13,GOOD,8,ELLQR,male,5.357,1.673
GVR13,GOOD,8,GWFYT,femelle,3.574,1.845
GVR13,GOOD,8,FTROC,femelle,3.522,1.795
GVR13,GOOD,8,MUUSJ,femelle,3.504,1.659
GVR13,GOOD,8,WTTRA,male,6.12,1.73
GVR13,GOOD,8,PHVUB,male,4.552,1.769
1CNIZ,POOR,4,,,,
1CNIZ,POOR,8,LVINW,male,4.134,1.609
1CNIZ,POOR,8,AGXDK,femelle,3.363,1.64
1CNIZ,POOR,8,YMYTC,femelle,3.341,1.559
1CNIZ,POOR,8,,,,
1CNIZ,GOOD,1,UYGR ,male,5.338,1.829
1CNIZ,GOOD,4,VKJAQ,male,5.929,1.897
1CNIZ,GOOD,4,MGUOY,male,5.762,1.736
1CNIZ,GOOD,4,OJPNR,femelle,3.646,1.869
1CNIZ,GOOD,4,TRZTL,femelle,3.425,1.837
1CNIZ,GOOD,8,XSPAB,femelle,3.488,1.743
1CNIZ,GOOD,8,SMQGJ,femelle,3.362,1.848
1CNIZ,GOOD,8,SQZEA,male,4.602,1.73
1CNIZ,GOOD,8,THXKO,male,3.734,1.608
1CNIZ,GOOD,8,QPCRD,femelle,3.243,1.743
1CNIZ,GOOD,8,DVWAE,male,6.589,1.72
1CNIZ,GOOD,8,CJTWN,male,4.701,1.569
1CNIZ,GOOD,8,XSLVO,male,3.871,1.475
GKEUJ,POOR,1,QRFFM,femelle,3.423,1.615
GKEUJ,POOR,1,EGJAA,femelle,3.342,1.418
GKEUJ,POOR,4,JCVOL,femelle,3.213,1.655
GKEUJ,POOR,4,OKLOW,male,4.358,1.527
GKEUJ,POOR,4,QRTMC,male,3.568,1.583
GKEUJ,POOR,4,SYTOH,male,5.769,1.905
GKEUJ,POOR,4,BCMRM,femelle,3.352,1.711
GKEUJ,POOR,4,NKFXY,male,4.192,1.64
GKEUJ,POOR,4,UPFXG,male,3.847,1.524
GKEUJ,POOR,4,OFTFR,femelle,3.462,1.743
GKEUJ,POOR,4,DZDKA,male,4.147,1.639
GKEUJ,POOR,4,LEMTN,male,3.624,1.679
GKEUJ,POOR,8,YCHZQ,male,3.858,1.785
GKEUJ,POOR,8,SOKZM,male,3.906,1.628
GKEUJ,POOR,8,MDCGN,femelle,3.469,1.793
GKEUJ,POOR,8,HKPPB,femelle,3.276,1.554
GKEUJ,POOR,8,AUSYA,male,4.151,1.61
GKEUJ,POOR,8,GCSGG,femelle,3.521,1.663
GKEUJ,POOR,8,NMLGL,femelle,3.62,1.704
GKEUJ,POOR,8,AIYGZ,male,4.266,1.475
GKEUJ,GOOD,1,YPOGD,femelle,3.416,1.849
GKEUJ,GOOD,1,KUYIG,male,5.089,1.89
GKEUJ,GOOD,1,ZBRAU,male,4.479,1.888
GKEUJ,GOOD,4,CIKPO,femelle,3.422,1.627
GKEUJ,GOOD,4,ZKTCT,male,6.046,1.784
GKEUJ,GOOD,4,ZLCGA,male,3.982,1.801
GKEUJ,GOOD,4,ROKKQ,femelle,3.613,1.869
