date_treatment,id_mere,diet,density,boite_petri,Id_adulte,date_adulte,sex,forceps_L,pronotum
27-01-2025,J56MW,POOR,4,46,LDCEO,10-04-2025,femelle,3.377,1.626
27-01-2025,J56MW,POOR,4,47,,,,,
27-01-2025,J56MW,POOR,8,48,GGLKA,10-04-2025,femelle,3.545,1.495
27-01-2025,J56MW,GOOD,1,49,BUKAJ,24-03-2025,male,3.731,1.482
27-01-2025,J56MW,GOOD,4,52,NHSRC,20-03-2025,femelle,3.742,1.633
27-01-2025,J56MW,GOOD,4,52,UQPEY,21-03-2025,femelle,3.424,1.723
27-01-2025,J56MW,GOOD,4,52,ZVFLI,24-03-2025,male,5.771,1.808
27-01-2025,J56MW,GOOD,4,52,GOTOO,24-03-2025,femelle,3.678,1.787
27-01-2025,J56MW,GOOD,8,53,GVVOV,24-03-2025,femelle,3.45,1.616
27-01-2025,J56MW,GOOD,4,54,PULWR,26-03-2025,femelle,3.633,1.941
27-01-2025,J56MW,GOOD,8,55,KADVJ,24-03-2025,femelle,3.623,1.599
27-01-2025,T4EMH,POOR,1,56,,,,,
27-01-2025,T4EMH,POOR,4,60,CSZIJ,07-04-2025,femelle,2.943,1.421
27-01-2025,T4EMH,POOR,4,60,SHWKC,21-04-2025,male,3.759,1.49
27-01-2025,T4EMH,POOR,8,63,NDRQX,31-03-2025,male,3.926,1.509
27-01-2025,T4EMH,POOR,8,63,XDPYI,31-03-2025,male,4.198,1.761
27-01-2025,T4EMH,POOR,8,63,RONTN,31-03-2025,femelle,3.378,1.732
27-01-2025,T4EMH,GOOD,1,64,WXZLY,24-03-2025,male,3.998,1.742
27-01-2025,T4EMH,GOOD,1,65,,,,,
27-01-2025,T4EMH,GOOD,4,68,MJMNQ,20-03-2025,male,3.64,1.639
27-01-2025,T4EMH,GOOD,4,68,TLDTB,21-03-2025,male,3.862,1.809
27-01-2025,T4EMH,GOOD,4,68,EZOEG,21-03-2025,male,3.649,1.561
27-01-2025,T4EMH,GOOD,4,69,WCVES,21-03-2025,femelle,3.4,1.597
27-01-2025,T4EMH,GOOD,4,69,SCTQV,24-03-2025,male,3.607,1.702
27-01-2025,T4EMH,GOOD,4,69,WCDPE,24-03-2025,male,4.508,1.841
27-01-2025,T4EMH,GOOD,4,69,XIUHX,25-03-2025,femelle,3.675,1.79
27-01-2025,T4EMH,GOOD,8,70,DJHNH,21-03-2025,femelle,3.281,1.742
27-01-2025,T4EMH,GOOD,8,70,CAGUV,21-03-2025,femelle,3.667,1.702
27-01-2025,T4EMH,GOOD,8,70,TMIDA,24-03-2025,male,5.261,1.772
27-01-2025,T4EMH,GOOD,8,70,XPEYG,24-03-2025,male,3.835,1.659
27-01-2025,T4EMH,GOOD,8,70,HRFJZ,24-03-2025,femelle,3.529,1.614
27-01-2025,T4EMH,GOOD,8,70,ZAEUK,24-03-2025,femelle,3.797,1.942
27-01-2025,9SOJI,POOR,1,71,,,,,
27-01-2025,9SOJI,POOR,4,75,,,,,
27-01-2025,9SOJI,POOR,4,75,,,,,
27-01-2025,9SOJI,POOR,4,76,,,,,
27-01-2025,9SOJI,POOR,8,78,DSXMY,28-03-2025,femelle,3.238,1.607
27-01-2025,9SOJI,POOR,8,78,VAJFC,28-03-2025,femelle,3.538,1.801
27-01-2025,9SOJI,POOR,8,78,NALGU,31-03-2025,male,3.57,1.295
27-01-2025,9SOJI,POOR,8,78,FRSEJ,02-04-2025,femelle,3.383,1.687
27-01-2025,9SOJI,GOOD,1,80,ZHWYG,19-03-2025,femelle,3.594,1.869
27-01-2025,9SOJI,GOOD,1,81,TRCIF,24-03-2025,femelle,3.34,1.79
27-01-2025,9SOJI,GOOD,4,83,SUUAT,19-03-2025,male,6.348,1.883
27-01-2025,9SOJI,GOOD,4,83,ZUPTX,21-03-2025,male,5.725,1.897
27-01-2025,9SOJI,GOOD,4,83,AHSWI,27-03-2025,male,3.944,1.579
27-01-2025,9SOJI,GOOD,4,84,IMAGO,19-03-2025,femelle,3.672,1.715
27-01-2025,9SOJI,GOOD,8,85,QPYYR,20-03-2025,femelle,3.648,1.933
27-01-2025,9SOJI,GOOD,8,85,QQVAU,24-03-2025,femelle,3.677,1.88
27-01-2025,9SOJI,GOOD,8,85,TZROT,24-03-2025,femelle,3.481,1.98
27-01-2025,9SOJI,GOOD,8,85,XCCAR,25-03-2025,male,6.066,1.731
27-01-2025,9SOJI,GOOD,8,86,TIEWN,21-03-2025,male,5.145,1.743
27-01-2025,9SOJI,GOOD,8,86,GWJQU,31-03-2025,male,4.161,1.641
27-01-2025,XD1CM,POOR,1,87,PGDWG,31-03-2025,femelle,3.683,1.739
27-01-2025,XD1CM,POOR,1,88,,,,,
27-01-2025,XD1CM,POOR,1,89,,,,,
27-01-2025,XD1CM,POOR,4,91,YNOMZ,01-04-2025,femelle,3.571,1.788
27-01-2025,XD1CM,POOR,4,91,ZLMNC,02-04-2025,femelle,3.238,1.685
27-01-2025,XD1CM,POOR,4,91,EBOZG,07-04-2025,male,3.847,1.538
27-01-2025,XD1CM,POOR,4,92,LMUPN,03-04-2025,male,4.061,1.593
27-01-2025,XD1CM,POOR,4,92,VQOOB,03-04-2025,femelle,2.994,1.427
27-01-2025,XD1CM,POOR,4,92,LRZUF,11-04-2025,femelle,3.486,1.627
27-01-2025,XD1CM,POOR,4,92,GJEJW,14-04-2025,male,4.736,1.577
27-01-2025,XD1CM,POOR,8,93,UVIGM,01-04-2025,femelle,3.382,1.673
27-01-2025,XD1CM,POOR,8,94,DQKAF,04-04-2025,femelle,3.065,1.718
27-01-2025,XD1CM,POOR,8,94,HKEST,04-04-2025,femelle,3.576,1.614
27-01-2025,XD1CM,POOR,8,94,UWSRM,10-04-2025,male,3.347,1.357
27-01-2025,XD1CM,POOR,8,94,JVCZP,14-04-2025,femelle,3.394,1.664
27-01-2025,XD1CM,POOR,8,94,CNVVC,21-04-2025,femelle,3.11,1.355
27-01-2025,XD1CM,GOOD,1,95,XZOPU,26-03-2025,femelle,3.734,1.818
27-01-2025,XD1CM,GOOD,1,96,BDMUM,25-03-2025,femelle,3.191,1.757
27-01-2025,XD1CM,GOOD,1,97,,,,,
27-01-2025,XD1CM,GOOD,4,98,WPUIS,21-03-2025,femelle,3.625,1.859
27-01-2025,XD1CM,GOOD,4,98,ZCTTW,24-03-2025,femelle,3.583,1.85
27-01-2025,XD1CM,GOOD,4,98,NBMFD,26-03-2025,male,6.31,1.702
27-01-2025,XD1CM,GOOD,4,98,XKOVO,26-03-2025,male,4.112,1.702
27-01-2025,XD1CM,GOOD,8,99,CZTNQ,19-03-2025,femelle,3.527,1.737
27-01-2025,XD1CM,GOOD,8,99,NDYFI,21-03-2025,male,5.926,1.827
27-01-2025,XD1CM,GOOD,8,99,BNXYV,24-03-2025,femelle,3.791,1.805
27-01-2025,XD1CM,GOOD,8,99,FDPEI,24-03-2025,femelle,3.828,1.852
27-01-2025,XD1CM,GOOD,8,99,FRMPI,24-03-2025,femelle,3.629,1.746
27-01-2025,XD1CM,GOOD,8,99,GYFXD,25-03-2025,male,4.253,1.532
27-01-2025,XD1CM,GOOD,8,99,QBQHV,25-03-2025,male,6.464,1.743
27-01-2025,XD1CM,GOOD,4,100,ZWYJS,20-03-2025,femelle,3.465,1.697
27-01-2025,XD1CM,GOOD,4,100,ZREGM,24-03-2025,femelle,3.466,1.731
27-01-2025,SG9FN,POOR,4,102,DFULR,31-03-2025,femelle,3.364,1.637
27-01-2025,SG9FN,POOR,4,102,LWPNN,31-03-2025,femelle,3.471,1.762
27-01-2025,SG9FN,GOOD,1,103,EIHZK,24-03-2025,femelle,3.673,1.667
27-01-2025,SG9FN,GOOD,1,104,HPDKQ,25-03-2025,femelle,3.612,1.875
27-01-2025,SG9FN,GOOD,4,105,FNJGE,19-03-2025,male,4.885,1.644
